id,category,topic,title,content,source_name,source_url,language,tags,last_updated
1,psychology,anxiety,Pengertian Anxiety,"Anxiety yang terjadi secara berkala adalah bagian dari kehidupan normal, tetapi gangguan kecemasan melibatkan kekhawatiran dan ketakutan yang berlebihan dan berkepanjangan tentang situasi sehari-hari. Gejala ini dapat mengganggu aktivitas sehari-hari, sulit dikendalikan, terlihat tidak proporsional dengan bahaya nyata, dan mungkin membuat orang menghindari beberapa situasi.",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/anxiety/symptoms-causes/syc-20350961,en,anxiety;overview,2025-07-29
2,psychology,anxiety,Gejala Anxiety,"Gejala umum termasuk merasa gugup, tidak tenang, atau tegang; merasa bahaya atau kehancuran; denyut nadi yang meningkat; pernapasan yang cepat; keringat; gemetar; lelah; kesulitan berkonsentrasi; kesulitan tidur; gangguan pencernaan; kesulitan mengontrol kekhawatiran; dan menghindari penyebabnya.",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/anxiety/symptoms-causes/syc-20350961,en,symptoms;anxiety,2025-07-29
3,psychology,anxiety,Ketika harus mencari bantuan dokter,"Jika kekhawatiran berlebihan dan mengganggu pekerjaan, hubungan, atau aspek lainnya dalam hidup. Atau jika kecemasan terasa tidak terkendali dan menimbulkan perasaan sedih.",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/anxiety/symptoms-causes/syc-20350961,en,anxiety;help_seeking,2025-07-29
4,psychology,anxiety,Penyebab Anxiety,"Penyebab gangguan kecemasan belum sepenuhnya dipahami. Pengalaman traumatis dapat memicu kecemasan pada orang yang lebih cenderung terhadapnya, dan sifat warisan juga mungkin berkontribusi. Dalam beberapa kasus, kecemasan mungkin terkait dengan kondisi medis tertentu atau sebagai efek sampingan obat.",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/anxiety/symptoms-causes/syc-20350961,en,causes;anxiety,2025-07-29
5,psychology,anxiety,Faktor Risiko dan Pencegahan,"Trauma, stres akibat penyakit, penumpukan kejadian stres, sifat kepribadian, gangguan mental lainnya, riwayat keluarga, dan penggunaan atau pengunduran diri dari zat-zat berbahaya dapat meningkatkan risiko. Membantu orang tersebut sejak dini, tetap aktif, memelihara hubungan, dan menghindari penggunaan alkohol atau zat-zat berbahaya mungkin dapat menurunkan dampak gejala.",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/anxiety/symptoms-causes/syc-20350961,en,causes;self_help,2025-07-29
6,psychology,anxiety,Apa itu kecemasan?,"Kecemasan seringkali dianggap sebagai perasaan takut atau tidak nyaman. Banyak orang mengalami kecemasan pada waktu-waktu tertentu. Kecemasan dapat mempengaruhi bagaimana kita merasa secara fisik, mental, dan perilaku.",NHS Every Mind Matters,https://www.nhs.uk/every-mind-matters/mental-health-issues/anxiety/,en,kecemasan;gejala;penyakit,2026-04-15
7,psychology,anxiety,Gejala Anxiety,"Anxiety dapat mempengaruhi pikiran, tubuh, dan perilaku. Gejalanya antara lain merasa sedih, mengalami sakit kepala, menghindari orang atau situasi, merasa lelah, gelisah, iritabel, gugup, pusing, berkeringat berlebihan, sulit berkonsentrasi atau membuat keputusan, kesulitan tidur, khawatir tentang masa lalu atau masa depan, merasa nyeri otot atau perut, atau mengalami kesulitan bernapas dan detak jantung yang lebih kuat atau tidak teratur.",NHS Every Mind Matters,https://www.nhs.uk/every-mind-matters/mental-health-issues/anxiety/,en,anxiety;symptoms,2026-04-15
8,psychology,anxiety,Penyebab Anxiety,"Anxiety dapat disebabkan oleh berbagai situasi dan pengalaman hidup yang berbeda-beda untuk setiap orang. Kadang-kadang tidak ada penyebab jelas, yang dapat membuat diri sendiri merasa cemas atau stres.",NHS Every Mind Matters,https://www.nhs.uk/every-mind-matters/mental-health-issues/anxiety/,en,causes;anxiety,2026-04-15
9,psychology,anxiety,Mengelola Stres,"Langkah-langkah self-care yang bermanfaat meliputi mindfulness, meditasi, latihan pernapasan, dan relaksasi untuk mengalihkan perhatian ke momen sekarang. Strategi lain yang berguna termasuk self-help terstruktur, menjaga diary untuk memahami penyebab, menetapkan waktu harian untuk khawatir, dan secara bertahap menghadapi situasi yang ditakuti daripada bergantung pada penghindaran.",NHS Every Mind Matters,https://www.nhs.uk/every-mind-matters/mental-health-issues/anxiety/,en,anxiety;self_help,2026-04-15
10,psychology,anxiety,Bantuan tambahan untuk kecemasan,"Jika kecemasan mempengaruhi kehidupan sehari-hari, orang disarankan untuk menghubungi NHS 111 atau berbicara dengan dokter. Mereka juga dapat merujuk diri sendiri ke terapi bicara NHS.",NHS Every Mind Matters,https://www.nhs.uk/every-mind-matters/mental-health-issues/anxiety/,en,anxiety;help_seeking,2026-04-15
