Context,Response
"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri.   Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.   Saya belum pernah mencoba atau berpikir untuk bunuh diri.   Saya selalu ingin memperbaiki masalah saya,  tapi saya tidak pernah sempat melakukannya.   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Jika semua orang berpikir Anda tidak berharga,  maka mungkin Anda perlu menemukan orang baru untuk bergaul.   Dengan serius,  konteks sosial di mana seseorang hidup adalah pengaruh besar dalam harga diri.   Selain itu,  Anda dapat berputar-putarPahami mengapa Anda tidak berharga,  lalu kembali ke kerumunan yang sama dan dirobohkan lagi.   Ada banyak pesan inspirasional yang dapat Anda temukan di media sosial.  Mungkin membaca beberapa orang yang menyatakan bahwa tidak ada orang yang tidak berharga,  dan bahwa setiap orang memiliki tujuan yang baik dalam hidup mereka.   Juga,  karena budaya kita begitu jenuh dengan keyakinan bahwa jika seseorang tidak merasa nyaman dengan diri mereka sendiri sehingga ini entah bagaimana ini entah bagaimana adalah entah bagaimanaMengerikan.   Perasaan Bubi adalah bagian dari hidup.  Mereka adalah motivasi untuk menyingkirkan diri kita dari situasi dan hubungan yang membuat kita lebih berbahaya daripada kebaikan.   Perasaan miring terasa mengerikan.  Perasaan tidak berharga Anda mungkin baik dalam arti memotivasi Anda untuk mengetahui bahwa Anda jauh lebih baik daripada perasaan Anda hari ini."
"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri.   Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.   Saya belum pernah mencoba atau berpikir untuk bunuh diri.   Saya selalu ingin memperbaiki masalah saya,  tapi saya tidak pernah sempat melakukannya.   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Halo,  dan terima kasih atas pertanyaan Anda dan mencari nasihat tentang ini.  Perasaan tidak berharga adalah umum.  Bahkan,  kebanyakan orang,  jika tidak semua,  telah merasakan ini sampai taraf tertentu pada suatu saat dalam hidup mereka.  Anda tidak sendiri.  Mengubah perasaan kita seperti mengubah pikiran kita- sulit dilakukan.  Pikiran kami sangat menakjubkan sehingga Anda mengubah pikiran Anda,  yang lain bisa ada di sana untuk mengambil tempat.  Tanpa izin Anda,  pikiran lain bisa muncul di sana.  Pikiran baru mungkin terasa lebih buruk dari yang terakhir! Dugaan saya adalah bahwa Anda telah mencoba beberapa hal untuk memperbaiki ini sendiri bahkan sebelum menjangkau di sini.  Orang-orang sering mencoba memikirkan pikiran positif,  berdebat dengan pikiran mereka,  atau hanya mengatakan pada diri mereka sendiri bahwa mereka perlu ""keluar dari itu""- yang juga merupakan pemikiran yang membawa beberapa kritik diri.  Beberapa orang mencoba pendekatan yang berbeda,  dan ada konselor di luar sana yang dapat membantu Anda dengan ini.  Idenya adalah bahwa alih-alih mencoba mengubah pikiran,  Anda mengubah cara Anda meresponsnya.  Anda belajar keterampilan yang memungkinkan Anda untuk mengelola pikiran dan perasaan yang sulit secara berbeda sehingga mereka tidak memiliki dampak yang sama pada Anda yang mereka lakukan saat ini.  Bagi sebagian orang,  mereka benar-benar mulai mengalami pikiran yang kurang menyakitkan begitu mereka belajar bagaimana mengelola yang mereka miliki secara berbeda.  Terapi penerimaan dan komitmen mungkin menjadi pilihan yang baik untuk Anda.  Ada informasi online dan bahkan buku-buku swadaya yang dapat Anda gunakan untuk mengajari Anda keterampilan yang saya sebutkan.  Karena mereka adalah keterampilan,  mereka membutuhkan latihan,  tetapi banyak orang telah menemukan kelegaan besar dan kehidupan yang diperkaya dengan mempelajarinya.  Adapun pikiran bunuh diri,  saya sangat senang membaca bahwa ini tidak terjadi pada Anda.  Namun,  Anda harus berhati-hati karena ini bisa menjadi tanda depresi yang memburuk.  Jika Anda mulai memikirkan hal ini,  penting untuk menjangkau sistem pendukung segera.  Lifeline Pencegahan Bunuh Diri Nasional adalah 1-800-273-8255.  Baris teks adalah #741741.  Saya berharap beberapa kolega lain akan memberi Anda lebih banyak saran.  Bersikaplah baik .  .  .   Robin Landwehr,  DBH,  LPCC"
"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri.   Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.   Saya belum pernah mencoba atau berpikir untuk bunuh diri.   Saya selalu ingin memperbaiki masalah saya,  tapi saya tidak pernah sempat melakukannya.   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?",Hal pertama yang saya sarankan adalah mendapatkan tidur yang Anda butuhkan atau itu akan memengaruhi cara berpikir dan merasakan.  Saya akan melihat apa yang berjalan dengan baik dalam hidup Anda dan apa yang dapat Anda syukuri.  Saya percaya setiap orang memiliki bakat dan ingin menemukan tujuan hidup mereka.  Saya pikir Anda bisa mengetahuinya dengan bantuan.
"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri.   Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.   Saya belum pernah mencoba atau berpikir untuk bunuh diri.   Saya selalu ingin memperbaiki masalah saya,  tapi saya tidak pernah sempat melakukannya.   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Terapi sangat penting bagi mereka yang merasa depresi dan tidak berharga.  Ketika saya bekerja dengan mereka yang mengalami kekhawatiran terkait dengan perasaan depresi dan masalah dengan harga diri.  Saya biasanya bekerja dengan klien saya untuk membantu membangun keterampilan koping untuk mengurangi tingkat depresi dan membantu memperkuat harga diri,  dengan membimbing klien saya dengan praktik CBT.  CBT membantu mendapatkan kesadaran yang lebih baik tentang bagaimana proses pemikiran Anda memengaruhi sistem kepercayaan Anda,  dan bagaimana keyakinan Anda memengaruhi tindakan dan hasil dari perilaku Anda.  Proses ini tidak mudah tetapi membantu mengajar seseorang bahwa kita tidak selalu memiliki kendali atas apa yang terjadi dalam hidup kita tetapi kita dapat mengendalikan bagaimana kita menafsirkan,  merasakan,  dan berperilaku.  CBT baik untuk individu yang berurusan dengan depresi,  kecemasan,  hubungan beracun,  stres,  harga diri,  kodependensi,  dll."
"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri.   Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.   Saya belum pernah mencoba atau berpikir untuk bunuh diri.   Saya selalu ingin memperbaiki masalah saya,  tapi saya tidak pernah sempat melakukannya.   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?",Pertama-tama saya ingin memberi tahu Anda bahwa Anda tidak sendirian dalam perasaan Anda dan selalu ada seseorang di sana untuk membantu.  Anda selalu dapat mengubah perasaan Anda dan mengubah cara berpikir Anda dengan terbuka untuk mencoba berubah.  Anda selalu dapat membuat diri Anda tersedia untuk mempelajari hal-hal baru atau menjadi sukarelawan sehingga Anda dapat membuat tujuan untuk diri sendiri.
"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri.   Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.   Saya belum pernah mencoba atau berpikir untuk bunuh diri.   Saya selalu ingin memperbaiki masalah saya,  tapi saya tidak pernah sempat melakukannya.   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Heck,  pasti,  hun!  Perasaan 'depresi' memiliki basis yang berakar dalam dalam struktur fisik yang mungkin tidak berfungsi dengan baik saat ini; Dan,  kami tentu saja dapat menyalakannya lagi menggunakan cara yang dapat Anda temukan di sekitar rumah dan dengan relatif mudah setelah itu,  dukungan emosional dan spiritual akan diterapkan secara bebas."
"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri.   Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.   Saya belum pernah mencoba atau berpikir untuk bunuh diri.   Saya selalu ingin memperbaiki masalah saya,  tapi saya tidak pernah sempat melakukannya.   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?",Anda menunjukkan beberapa sifat spesifik dari tipe temperamen tertentu.  Cari seorang penasihat yang menyediakan terapi temperamen NCCA dan temukan kegembiraan menjadi Anda- Tuhan mencintai Anda sebagaimana adanya!
"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri.   Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.   Saya belum pernah mencoba atau berpikir untuk bunuh diri.   Saya selalu ingin memperbaiki masalah saya,  tapi saya tidak pernah sempat melakukannya.   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Itu intens.  Depresi adalah pembohong.  Terkadang depresi menempatkan kacamata ini di atas mata kita,  kacamata hitam gelap yang mengubah cara kita melihat sesuatu.  Depresi memberi tahu kami hal-hal seperti ""Anda tidak berharga"" ""Tidak ada yang menyukai Anda"" ""Jangan khawatir melakukan apa pun.  ""Dan sangat mudah bagi kita untuk mendengarkan dan tertipu untuk berpikir bahwa hanya karena kita merasakan sesuatu berarti itu benar.  Ketahuilah bahwa bahkan jika Anda merasa tidak berharga sekarang,  itu tidak berarti Anda tidak berharga.   Langkah pertama untuk bekerja melalui ini adalah mengenali apa yang sedang terjadi.  Mengenali ketika depresi menceritakan kisah yang sama (yaitu;  menjadi tidak berharga) dengan kata-kata yang berbeda (yaitu tidak berharga di sini,  tidak berharga di sana) dan berusaha untuk berbicara kembali.  Meskipun saya tidak dapat memberi Anda diagnosis depresi,  membaca apa yang Anda alami,  sepertinya Anda mungkin membutuhkan bantuan untuk kembali ke jalurnya.  Melihat seorang penasihat dapat membuka opsi yang sama sekali baru di mana seseorang yang tidak terlibat dalam hidup Anda dapat membantu Anda tanpa penilaian dan dengan perspektif yang obyektif.  Ini dapat melakukan keajaiban dalam membuka bungkus pemikiran semacam ini.  Semoga Anda mendapatkan yang terbaik!"
"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri.   Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.   Saya belum pernah mencoba atau berpikir untuk bunuh diri.   Saya selalu ingin memperbaiki masalah saya,  tapi saya tidak pernah sempat melakukannya.   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?",Sepertinya Anda mungkin menempatkan diri Anda yang terakhir.  Anda menulis bahwa Anda ingin memperbaiki masalah Anda tetapi tidak pernah berhasil melakukannya.  Saya bertanya-tanya bagaimana Anda menghabiskan energi mental dan fisik Anda.  Apakah Anda menghabiskan waktu untuk merawat dan melakukan untuk orang lain?  Saya juga bertanya-tanya dari mana pikiran dan perasaan tidak berharga berasal- apakah Anda di sekitar orang yang memperlakukan Anda dengan buruk atau menyakitkan?  Atau apakah Anda merasa itu lebih mengkhawatirkan yang Anda miliki tetapi tidak benar-benar yakin bagaimana perasaan orang lain?  Mungkin bermanfaat untuk berbicara dengan seseorang tentang perasaan Anda- seorang penasihat mungkin- untuk mengklarifikasi perasaan Anda dan bergerak maju dari SE yang menyakiti Anda.
"Aku sedang melalui beberapa hal dengan perasaanku dan diriku sendiri.   Saya hampir tidak tidur dan tidak melakukan apa pun selain memikirkan betapa saya tidak berharga dan betapa saya tidak seharusnya berada di sini.   Saya belum pernah mencoba atau berpikir untuk bunuh diri.   Saya selalu ingin memperbaiki masalah saya,  tapi saya tidak pernah sempat melakukannya.   Bagaimana saya bisa mengubah perasaan saya yang tidak berharga bagi semua orang?","Pasti sangat sulit untuk mengalami apa yang Anda lalui saat ini.  Dibutuhkan banyak keberanian untuk menjangkau.  Sepertinya Anda ingin menjadi lebih baik,  tetapi mungkin perlu bantuan untuk mengatasi punuk.  Banyak gejala yang Anda gambarkan konsisten dengan orang yang berurusan dengan depresi.  Depresi adalah kondisi yang bisa diobati.  Biasanya,  jika gejala-gejala ini bertahan selama lebih dari dua minggu,  maka merupakan ide yang baik untuk mencari bantuan profesional.  Seseorang yang dilatih dalam menangani depresi.  Awalnya,  penilaian komprehensif akan diselesaikan untuk mengesampingkan penyebab lain untuk gejala Anda dan untuk menentukan sifat tepat dari masalah presentasi Anda.  Kemudian,  bekerja sama satu sama lain,  rencana perawatan yang disesuaikan akan dikembangkan,  dengan fokus pada cara terbaik membantu Anda mencapai tujuan Anda.  Berita baiknya adalah harapan mereka menjadi lebih baik! Anda tidak harus melakukannya sendiri.  Izinkan saya menjadi sekutu Anda dalam penyembuhan."
